--------------------------------
STUDENT HEADER :
58 : 7237
59 : 6834
60 : 5278
61 : 7401
62 : 6560
63 : 6321
64 : 5635
65 : 9081
66 : 7915
67 : 6857
68 : 8134
69 : 5877
70 : 6124
71 : 8875
72 : 6889
73 : 7646
74 : 7364
75 : 1244
76 : 7903
77 : 8578
78 : 9208
79 : 6070
80 : 7451
81 : 3086
82 : 9164
83 : 6005
84 : 8894
85 : 8354
86 : 9151
87 : 8881
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 8419
95 : 4239
96 : 7512
97 : 8825
98 : 5460
99 : 8082
La precision est de : 83.0%
Total runtime : 120
Average runtime : 1.2
PS C:\Users\dahda\OneDrive\Desktop\University ig\CSI2510\Projet 2> java GraphA1NN 100 25 siftsmall_base.fvecs siftsmall_query.fvecs
0 : 2176
1 : 2781
2 : 2707
3 : 9843
4 : 4719
5 : 1097
6 : 2456
7 : 5447
8 : 9628
9 : 4764
10 : 1218
11 : 4697
12 : 2113
13 : 3609
14 : 797
15 : 5326
16 : 3829
17 : 4096
18 : 903
19 : 1699
20 : 7462
21 : 4490
22 : 4957
23 : 8335
24 : 4630
25 : 5300
26 : 9899
27 : 5963
28 : 4472
29 : 5453
30 : 5207
31 : 5559
32 : 5300
33 : 9147
34 : 7058
35 : 5841
36 : 5842
37 : 5184
38 : 5023
39 : 4677
40 : 8307
41 : 4643
42 : 5224
43 : 6302
44 : 5428
45 : 8979
46 : 5880
47 : 5641
48 : 5213
49 : 5084
50 : 5653
51 : 6123
52 : 5673
53 : 8612
54 : 6158
55 : 5830
56 : 4903
57 : 5211
58 : 7237
59 : 6834
60 : 5278
61 : 8402
62 : 6560
63 : 6321
64 : 7092
65 : 6405
66 : 5390
67 : 6857
68 : 5199
69 : 5877
70 : 6124
71 : 5826
72 : 6609
73 : 7646
74 : 7364
75 : 6553
76 : 7903
77 : 8578
78 : 9208
79 : 6070
80 : 7451
81 : 3086
82 : 9164
83 : 6005
84 : 8894
85 : 8354
86 : 9151
87 : 7722
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 7930
95 : 9205
96 : 7512
97 : 8825
98 : 5460
99 : 8082
La precision est de : 96%
Total runtime : 226
Average runtime : 2.26
PS C:\Users\dahda\OneDrive\Desktop\University ig\CSI2510\Projet 2> java GraphA1NN 10 100 siftsmall_base.fvecs siftsmall_query.fvecs
0 : 2176
1 : 6550
2 : 2707
3 : 9843
4 : 4719
5 : 1097
6 : 2456
7 : 5447
8 : 9628
9 : 4764
10 : 804
11 : 4697
12 : 2113
13 : 3609
14 : 797
15 : 5813
16 : 3829
17 : 4096
18 : 903
19 : 1699
20 : 8628
21 : 4490
22 : 4957
23 : 8335
24 : 4630
25 : 5300
26 : 7807
27 : 8134
28 : 8189
29 : 8134
30 : 5207
31 : 5559
32 : 5300
33 : 2102
34 : 7058
35 : 5841
36 : 5842
37 : 5184
38 : 5023
39 : 4677
40 : 8307
41 : 4643
42 : 5224
43 : 6302
44 : 5428
45 : 1277
46 : 5880
47 : 5641
48 : 5213
49 : 5084
50 : 5653
51 : 6123
52 : 5673
53 : 8612
54 : 9081
55 : 7019
56 : 4903
57 : 5211
58 : 7237
59 : 6834
60 : 5278
61 : 8402
62 : 6560
63 : 6321
64 : 7092
65 : 9081
66 : 5390
67 : 6857
68 : 5199
69 : 5877
70 : 6124
71 : 5826
72 : 6609
73 : 6853
74 : 7364
75 : 6553
76 : 7240
77 : 8578
78 : 9208
79 : 6070
80 : 7451
81 : 3086
82 : 9164
83 : 6005
84 : 8894
85 : 8354
86 : 9151
87 : 8881
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 7930
95 : 9205
96 : 7512
97 : 8825
98 : 5460
99 : 8082
La precision est de : 86%
Total runtime : 164
Average runtime : 1.64
PS C:\Users\dahda\OneDrive\Desktop\University ig\CSI2510\Projet 2> java GraphA1NN 25 100 siftsmall_base.fvecs siftsmall_query.fvecs
0 : 2176
1 : 2781
2 : 2707
3 : 9843
4 : 4719
5 : 1097
6 : 2456
7 : 5447
8 : 9628
9 : 4764
10 : 1218
11 : 4697
12 : 2113
13 : 3609
14 : 797
15 : 5813
16 : 3829
17 : 4096
18 : 903
19 : 1699
20 : 7462
21 : 4490
22 : 4957
23 : 8335
24 : 4630
25 : 5300
26 : 9899
27 : 5963
28 : 4472
29 : 5453
30 : 5207
31 : 5559
32 : 5300
33 : 7277
34 : 7058
35 : 5841
36 : 5842
37 : 5184
38 : 5023
39 : 4677
40 : 8307
41 : 4643
42 : 5224
43 : 6302
44 : 5428
45 : 8134
46 : 5880
47 : 5641
48 : 5213
49 : 5084
50 : 5653
51 : 6123
52 : 5673
53 : 8612
54 : 6158
55 : 5830
56 : 4903
57 : 5211
58 : 7237
59 : 6834
60 : 5278
61 : 8402
62 : 6560
63 : 6321
64 : 5635
65 : 6405
66 : 7915
67 : 6857
68 : 5199
69 : 5877
70 : 6124
71 : 5826
72 : 6609
73 : 6853
74 : 7364
75 : 6553
76 : 7903
77 : 8578
78 : 9208
79 : 6070
80 : 7451
81 : 3086
82 : 9164
83 : 6005
84 : 8894
85 : 8354
86 : 9151
87 : 7722
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 8419
95 : 9205
96 : 7512
97 : 8825
98 : 5460
99 : 8082
La precision est de : 97.0%
Total runtime : 174
Average runtime : 1.74
PS C:\Users\dahda\OneDrive\Desktop\University ig\CSI2510\Projet 2> java GraphA1NN 100 100 siftsmall_base.fvecs siftsmall_query.fvecs
0 : 2176
1 : 2781
2 : 2707
3 : 9843
4 : 4719
5 : 1097
6 : 2456
7 : 5447
8 : 9628
9 : 4764
10 : 1218
11 : 4697
12 : 2113
13 : 3609
14 : 797
15 : 5326
16 : 3829
17 : 4096
18 : 903
19 : 1699
20 : 7462
21 : 4490
22 : 4957
23 : 8335
24 : 4630
25 : 5300
26 : 9899
27 : 5963
28 : 4472
29 : 5453
30 : 5207
31 : 5559
32 : 5300
33 : 7277
34 : 7058
35 : 5841
36 : 5842
37 : 5184
38 : 5023
39 : 4677
40 : 8307
41 : 4643
42 : 5224
43 : 6302
44 : 5428
45 : 8979
46 : 5880
47 : 5641
48 : 5213
49 : 5084
50 : 5653
51 : 6123
52 : 5673
53 : 8612
54 : 9081
55 : 5830
56 : 4903
57 : 5211
58 : 7237
59 : 6834
60 : 5278
61 : 8402
62 : 6560
63 : 6321
64 : 5635
65 : 6405
66 : 5390
67 : 6857
68 : 5199
69 : 5877
70 : 6124
71 : 5826
72 : 6609
73 : 6853
74 : 7364
75 : 6553
76 : 7903
77 : 8578
78 : 9208
79 : 6070
80 : 7451
81 : 3086
82 : 9164
83 : 6005
84 : 8894
85 : 8354
86 : 9151
87 : 7722
88 : 7098
89 : 7627
90 : 9258
91 : 8896
92 : 8356
93 : 8978
94 : 7930
95 : 9205
96 : 7512
97 : 8825
98 : 5460
99 : 8082
La precision est de : 98.0%
Total runtime : 274
Average runtime : 2.74
